host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
within a day,100%,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22631-280,-23.00338,-43.341229999999996,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,"$3,200.00",$60.00,$0.00,6,1125,2,100.0,0.04,139.0
a few days or more,0%,Santa Teresa,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410,-22.98484,-43.21396,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$500.00,$150.00,$0.00,5,1125,7,100.0,0.17,251.0
,,Copacabana,6.0,Copacabana,Copacabana,Rio de Janeiro,22030-001,-22.9677,-43.18473,Bed and breakfast,Shared room,5,1.0,1.0,4.0,Real Bed,$500.00,$35.00,$338.00,4,31,1,60.0,0.18,189.0
within an hour,100%,Santa Teresa,11.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22020-001,-22.97227,-43.18857,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$500.00,$160.00,$50.00,3,90,74,94.0,2.27,224.0
within an hour,100%,Copacabana,49.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011,-22.962670000000003,-43.17592,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,$0.00,$150.00,$0.00,3,90,10,94.0,0.36,270.0
within an hour,100%,Ipanema,2.0,Ipanema,Ipanema,Rio de Janeiro,22410-003,-22.985789999999998,-43.19703,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$400.00,$200.00,$40.00,3,1125,9,96.0,2.18,278.0
within a few hours,100%,Ipanema,5.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22421-020,-22.98161,-43.20621,Apartment,Private room,2,3.5,1.0,1.0,Real Bed,,,$100.00,1,1125,8,100.0,0.23,100.0
,,,1.0,Flamengo,Flamengo,Rio de Janeiro,22230-061,-22.937089999999998,-43.17811,Apartment,Entire home/apt,5,2.0,2.0,3.0,Real Bed,$500.00,$200.00,$100.00,3,15,1,80.0,0.18,401.0
,,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050,-22.96725,-43.179590000000005,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$0.00,$120.00,$0.00,3,29,15,84.0,0.43,499.0
within an hour,100%,Ipanema,1.0,Ipanema,Rio,Rio de Janeiro,22410-003,-22.984189999999998,-43.20003,Apartment,Entire home/apt,5,3.0,2.0,4.0,Real Bed,$0.00,$195.00,$50.00,3,365,9,96.0,0.22,259.0
within an hour,100%,Glória,2.0,Copacabana,Rio,Rio de Janeiro,22041-010,-22.9698,-43.18724,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,$0.00,$100.00,$20.00,3,1125,65,95.0,1.07,96.0
within an hour,100%,Copacabana,11.0,Copacabana,Copacabana,Rio de Janeiro,22041-011,-22.97017,-43.18933,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,$390.00,$165.00,$0.00,4,30,40,99.0,1.64,124.0
within an hour,100%,Copacabana,2.0,Copacabana,Rio de Janeiro,RJ,22051-002,-22.976999999999997,-43.19153,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,$250.00,$0.00,2,30,9,100.0,1.59,251.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22080-010,-22.983970000000003,-43.19192,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,$0.00,$100.00,$35.00,2,1125,63,100.0,2.42,249.0
within a few hours,84%,Barra da Tijuca,2.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630-011,-23.01098,-43.34437,Apartment,Private room,6,2.5,3.0,3.0,Real Bed,$500.00,$160.00,$180.00,2,30,3,93.0,0.14,892.0
,,Copacabana,2.0,Copacabana,Leme,Rio de Janeiro,22010-110,-22.963079999999998,-43.17348,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"$3,000.00",$289.00,$50.00,2,45,1,80.0,0.3,208.0
within a day,86%,Ipanema,15.0,Copacabana,Copacabana,Rio de Janeiro,22081-025,-22.985529999999997,-43.19232,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"$1,000.00",$190.00,$0.00,7,1125,18,89.0,1.59,124.0
within a few hours,100%,Leme,1.0,Leme,Copacabana,Rio de Janeiro,22010-000,-22.96375,-43.17115,Apartment,Entire home/apt,5,1.0,0.0,4.0,Real Bed,$0.00,$0.00,$42.00,1,1124,36,97.0,2.35,158.0
within an hour,100%,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22783-116,-23.00798,-43.441629999999996,Apartment,Entire home/apt,5,2.0,3.0,4.0,Real Bed,$500.00,$180.00,$50.00,2,90,7,100.0,1.94,201.0
within an hour,100%,,2.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790-587,-23.02283,-43.48985,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$500.00,$150.00,$150.00,2,1125,4,85.0,1.13,351.0
